gameweek,projected_points,band_low,band_high,action,action_detail,wildcard_gain,wildcard_recommended,free_hit_gain,free_hit_recommended,chips_used
3,70.7,44.9,96.49,triple_captain,,82.14,True,25.91,True,triple_captain
4,55.86,38.35,73.36,transfer,player_antonin_kinsky -> player_bart_verbruggen (net +22.93),52.27,True,23.52,True,triple_captain
5,66.06,46.09,86.03,transfer,player_christos_tzolis -> player_marcus_tavernier (net +22.88),31.06,True,19.04,True,triple_captain
6,76.91,55.81,98.02,bench_boost,,-22.72,False,9.95,True,bench_boost|triple_captain
7,73.62,52.57,94.67,transfer,player_pascal_gross -> player_enzo_le_fee (net +22.67),13.59,True,17.78,True,bench_boost|triple_captain
8,67.52,48.04,86.99,transfer,player_joao_pedro_junqueira_de_jesus -> player_igor_thiago_nascimento_rodrigues (net +11.48),-27.52,False,9.01,True,bench_boost|triple_captain
9,75.42,54.89,95.94,transfer,player_bobby_thomas -> player_dara_o_shea (net +12.26),-46.65,False,3.98,True,bench_boost|triple_captain
10,72.23,52.34,92.12,transfer,player_harry_maguire -> player_malick_thiaw (net +6.09),-13.29,False,4.84,True,bench_boost|triple_captain
11,77.14,56.27,98.01,transfer,player_trai_hume -> player_taylor_harwood_bellis (net +4.76),-52.79,False,3.57,True,bench_boost|triple_captain
12,67.19,48.66,85.71,transfer,player_regan_slater -> player_will_hughes (net +2.67),-13.17,False,0.62,False,bench_boost|triple_captain
13,71.7,51.83,91.57,transfer,player_gabriel_dos_santos_magalhaes -> player_james_tarkowski (net +0.91),-46.98,False,8.02,True,bench_boost|triple_captain
14,73.28,53.44,93.12,transfer,player_will_hughes -> player_kevin_schade (net +15.16),-40.7,False,-2.17,False,bench_boost|triple_captain
15,78.02,57.14,98.91,transfer,player_leif_davis -> player_ezri_konsa_ngoyo (net +9.40),-46.96,False,1.22,False,bench_boost|triple_captain
16,77.76,61.31,94.21,free_hit,,-74.27,False,10.17,True,bench_boost|free_hit|triple_captain
17,74.49,54.41,94.58,transfer,player_dominic_calvert_lewin -> player_yoane_wissa (net +4.19),-68.41,False,2.23,True,bench_boost|free_hit|triple_captain
18,73.22,53.52,92.93,transfer,player_taylor_harwood_bellis -> player_vitalii_mykolenko (net +3.42),-16.99,False,2.91,True,bench_boost|free_hit|triple_captain
19,78.45,61.16,95.73,free_hit,,-62.53,False,4.42,True,bench_boost|free_hit|triple_captain
20,89.86,69.09,110.63,bench_boost,,-59.55,False,2.85,True,bench_boost|free_hit|triple_captain
21,90.98,65.72,116.25,triple_captain,,-67.03,False,2.76,True,bench_boost|free_hit|triple_captain
22,73.71,53.9,93.52,transfer,player_yoane_wissa -> player_dominic_calvert_lewin (net +2.93),-53.69,False,1.34,False,bench_boost|free_hit|triple_captain
