window,alpha,folds,mse
2,0.5482211966808708,64,4.110922909527875
2,0.5482211966808708,64,4.110922909527875
2,0.5482211966808708,64,4.110922909527875
2,0.5482211966808708,64,4.110922909527875
2,0.5482211966808708,64,4.110922909527875
2,0.5482211966808708,64,4.110922909527875
2,0.5848820230649372,64,4.110922944420622
2,0.5848820230649372,64,4.110922944420622
2,0.5848820230649372,64,4.110922944420622
2,0.5848820230649372,64,4.110922944420622
2,0.5848820230649372,64,4.110922944420622
2,0.5848820230649372,64,4.110922944420622
2,0.5848820230649372,64,4.110922944420622
2,0.5848820230649372,64,4.110922944420622
2,0.5138582972943202,64,4.110923376743214
2,0.5138582972943202,64,4.110923376743214
2,0.5138582972943202,64,4.110923376743214
2,0.5138582972943202,64,4.110923376743214
2,0.5138582972943202,64,4.110923376743214
2,0.5138582972943202,64,4.110923376743214
2,0.6239944441689813,64,4.110923511819241
2,0.6239944441689813,64,4.110923511819241
2,0.6239944441689813,64,4.110923511819241
2,0.6239944441689813,64,4.110923511819241
2,0.6239944441689813,64,4.110923511819241
2,0.6239944441689813,64,4.110923511819241
2,0.4816492891863252,64,4.110924314667296
2,0.4816492891863252,64,4.110924314667296
2,0.4816492891863252,64,4.110924314667296
2,0.4816492891863252,64,4.110924314667296
2,0.6657224038334415,64,4.110924640856359
2,0.6657224038334415,64,4.110924640856359
2,0.6657224038334415,64,4.110924640856359
2,0.6657224038334415,64,4.110924640856359
2,0.4514591649005106,64,4.110925691158286
2,0.4514591649005106,64,4.110925691158286
2,0.4514591649005106,64,4.110925691158286
2,0.4514591649005106,64,4.110925691158286
2,0.7102408092046375,64,4.110926359133144
2,0.7102408092046375,64,4.110926359133144
2,0.7102408092046375,64,4.110926359133144
2,0.7102408092046375,64,4.110926359133144
2,0.7102408092046375,64,4.110926359133144
2,0.4231613793450881,64,4.110927473584431
2,0.4231613793450881,64,4.110927473584431
2,0.4231613793450881,64,4.110927473584431
2,0.4231613793450881,64,4.110927473584431
2,0.4231613793450881,64,4.110927473584431
2,0.7577362638765357,64,4.11092869245245
2,0.7577362638765357,64,4.11092869245245
2,0.7577362638765357,64,4.11092869245245
2,0.7577362638765357,64,4.11092869245245
2,0.39663731936574764,64,4.110929629068529
2,0.39663731936574764,64,4.110929629068529
2,0.39663731936574764,64,4.110929629068529
2,0.39663731936574764,64,4.110929629068529
2,0.39663731936574764,64,4.110929629068529
2,0.8084078500594021,64,4.110931664553541
2,0.8084078500594021,64,4.110931664553541
2,0.8084078500594021,64,4.110931664553541
2,0.8084078500594021,64,4.110931664553541
2,0.8084078500594021,64,4.110931664553541
2,0.8084078500594021,64,4.110931664553541
2,0.8084078500594021,64,4.110931664553541
2,0.3717758065661061,64,4.11093212472253
2,0.3717758065661061,64,4.11093212472253
2,0.3717758065661061,64,4.11093212472253
2,0.3717758065661061,64,4.11093212472253
2,0.3717758065661061,64,4.11093212472253
2,0.3484726312917259,64,4.110934927870713
2,0.3484726312917259,64,4.110934927870713
2,0.3484726312917259,64,4.110934927870713
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.8624679630538962,64,4.110935296850801
2,0.3266301158243518,64,4.1109380062599605
2,0.920143201528384,64,4.110939608179047
2,0.920143201528384,64,4.110939608179047
2,0.920143201528384,64,4.110939608179047
2,0.920143201528384,64,4.110939608179047
2,0.920143201528384,64,4.110939608179047
2,0.30615670495544806,64,4.11094132825569
2,0.30615670495544806,64,4.11094132825569
2,0.30615670495544806,64,4.11094132825569
